rozplanowanie	,rozplanować	,ger:sg:nom:n:perf:aff	,X	,L
",	",",	",interp	,	,
zbudowane	,zbudować	,ppas:sg:nom:n:perf:aff	,	,
po	,po	,prep:loc	,	,
części	,część	,subst:sg:loc:f	,	,
z	,z	,prep:gen:nwok	,	,
porowatego	,porowaty	,adj:sg:gen:m3:pos	,X	,L
betonu	,beton	,subst:sg:gen:m3	,X	,L
",	",",	",interp	,	,
bazaltu	,bazalt	,subst:sg:gen:m3	,	,
i	,i	,conj	,	,
dębu	,dąb	,subst:sg:gen:m3	,	,
",	",",	",interp	,	,
który	,który	,adj:sg:nom:m3:pos	,	,
obejmuje	,obejmować	,fin:sg:ter:imperf	,	,
ponad	,ponad	,qub	,	,
11.000	,11.000	,dig	,	,
m2	,m2	,ign	,	,
powierzchni	,powierzchnia	,subst:sg:gen:f	,	,
.	,.	,interp	,	,
&,,,,
Obecnie	,obecnie	,adv:pos	,	,
odchodzi	,odchodzić	,fin:sg:ter:imperf	,	,
się	,się	,qub	,	,
od	,od	,prep:gen:nwok	,	,
celowego	,celowy	,adj:sg:gen:n:pos	,X	,M
krzyżowania	,krzyżować	,ger:sg:gen:n:imperf:aff	,X	,M
ze	,z	,prep:gen:wok	,	,
względu	,wzgląd	,subst:sg:gen:m3	,	,
na	,na	,prep:acc	,	,
potrzebę	,potrzeba	,subst:sg:acc:f	,	,
zachowania	,zachowanie	,subst:sg:gen:n:ncol	,	,
czystych	,czysty	,adj:pl:gen:f:pos	,X	,M
linii	,linia	,subst:pl:gen:f	,X	,M
genetycznych	,genetyczny	,adj:pl:gen:f:pos	,	,
oraz	,oraz	,conj	,	,
kontrowersje	,kontrowersja	,subst:pl:nom:f	,	,
natury	,natura	,subst:sg:gen:f	,	,
etycznej	,etyczny	,adj:sg:gen:f:pos	,	,
.	,.	,interp	,	,
&,,,,
W	,w	,prep:loc:nwok	,	,
tej	,ten	,adj:sg:loc:f:pos	,X	,L
świątyni	,świątynia	,subst:sg:loc:f	,X	,L
odbyły	,odbyć	,praet:pl:m3:perf	,	,
się	,się	,qub	,	,
pierwsze	,pierwszy	,adj:pl:nom:m3:pos	,	,
w	,w	,prep:loc:nwok	,	,
Japonii	,Japonia	,subst:sg:loc:f	,	,
ordynacje	,ordynacja	,subst:pl:nom:f	,	,
mnichów	,mnich	,subst:pl:gen:m1	,	,
w	,w	,prep:loc:nwok	,	,
czystej	,czysty	,adj:sg:loc:f:pos	,X	,M
linii	,linia	,subst:sg:loc:f	,X	,M
zen	,zen	,subst:sg:nom:m3	,	,
.	,.	,interp	,	,
&,,,,
Zespół	,zespół	,subst:sg:nom:m3	,	,
był	,być	,praet:sg:m3:imperf	,	,
ponadto	,ponadto	,qub	,	,
jedyną	,jedyny	,adj:sg:inst:f:pos	,X	,L
formacją	,formacja	,subst:sg:inst:f	,X	,L
",	",",	",interp	,	,
która	,który	,adj:sg:nom:f:pos	,	,
zagrała	,zagrać	,praet:sg:f:perf	,	,
do	,do	,prep:gen	,	,
czystej	,czysty	,adj:sg:gen:f:pos	,X	,M
linii	,linia	,subst:sg:gen:f	,X	,M
melodycznej	,melodyczny	,adj:sg:gen:f:pos	,	,
",	",",	",interp	,	,
bez	,bez	,prep:gen:nwok	,	,
chórków	,chórek	,subst:pl:gen:m3	,	,
i	,i	,conj	,	,
wokali	,wokal	,subst:pl:gen:m3	,	,
nagranych	,nagrać	,ppas:pl:gen:m3:perf:aff	,	,
na	,na	,prep:loc	,	,
taśmie	,taśma	,subst:sg:loc:f	,	,
.	,.	,interp	,	,
&,,,,
Żołnierzom	,żołnierz	,subst:pl:dat:m1	,	,
zalecano	,zalecać	,imps:imperf	,	,
strzelanie	,strzelanie	,subst:sg:acc:n:ncol	,	,
tylko	,tylko	,conj	,	,
wówczas	,wówczas	,adv	,	,
",	",",	",interp	,	,
gdy	,gdy	,comp	,	,
mają	,mieć	,fin:pl:ter:imperf	,	,
czystą	,czysty	,adj:sg:acc:f:pos	,X	,M
linię	,linia	,subst:sg:acc:f	,X	,M
strzału	,strzał	,subst:sg:gen:m3	,	,
.	,.	,interp	,	,
&,,,,
Budynek	,budynek	,subst:sg:nom:m3	,	,
urzeka	,urzekać	,fin:sg:ter:imperf	,	,
pięknem	,piękno	,subst:sg:inst:n:ncol	,	,
i	,i	,conj	,	,
czystą	,czysty	,adj:sg:inst:f:pos	,X	,M
linią	,linia	,subst:sg:inst:f	,X	,M
architektury	,architektura	,subst:sg:gen:f	,	,
.	,.	,interp	,	,
&,,,,
Dzięki	,dzięka	,subst:pl:nom:f	,	,
owej	,ów	,adj:sg:gen:f:pos	,	,
czystej	,czysty	,adj:sg:gen:f:pos	,X	,M
linii	,linia	,subst:sg:gen:f	,X	,M
melodycznej	,melodyczny	,adj:sg:gen:f:pos	,,
słowa	,słowo	,subst:sg:gen:n:ncol	,,
uderzają	,uderzać	,fin:pl:ter:imperf	,	,
w	,w	,prep:acc:nwok	,	,
odbiorcę	,odbiorca	,subst:sg:acc:m1	,	,
jak	,jak	,adv:pos	,	,
fale	,fala	,subst:pl:acc:f	,	,
-	,-	,interp	,	,
rytmicznie	,rytmicznie	,adv:pos	,	,
",	",",	",interp	,	,
przyjemnie	,przyjemnie	,adv:pos	,	,
",	",",	",interp	,	,
mocno	,mocno	,adv:pos	,	,
-	,-	,interp	,	,
i	,i	,conj	,	,
docierają	,docierać	,fin:pl:ter:imperf	,	,
głęboko	,głęboko	,adv:pos	,	,
.	,.	,interp	,	,
&,,,,
Karafki	,karafka	,subst:pl:nom:f	,	,
i	,i	,conj	,	,
butelki	,butelka	,subst:pl:nom:f	,	,
o	,o	,prep:loc	,	,
czystej	,czysty	,adj:sg:loc:f:pos	,X	,M
linii	,linia	,subst:sg:loc:f	,X	,M
zdecydowanie	,zdecydowanie	,adv:pos	,	,
lepiej	,dobrze	,adv:com	,	,
pasują	,pasować	,fin:pl:ter:imperf	,	,
do	,do	,prep:gen	,	,
dekoracji	,dekoracja	,subst:pl:gen:f	,	,
współczesnych	,współczesny	,adj:pl:gen:n:pos	,X	,L
wnętrz	,wnętrze	,subst:pl:gen:n:ncol	,X	,L
mieszkalnych	,mieszkalny	,adj:pl:gen:n:pos	,	,
",	",",	",interp	,	,
a	,a	,conj	,	,
prostotę	,prostota	,subst:sg:acc:f	,	,
kształtów	,kształt	,subst:pl:gen:m3	,	,
nadrabiają	,nadrabiać	,fin:pl:ter:imperf	,	,
bogactwem	,bogactwo	,subst:sg:inst:n:ncol	,	,
kolorów	,kolor	,subst:pl:gen:m3	,	,
i	,i	,conj	,	,
zróżnicowaniem	,zróżnicować	,ger:sg:inst:n:perf:aff	,	,
odcieni	,odcień	,subst:pl:gen:m3	,	,
.	,.	,interp	,	,
&,,,,
Obecnie	,obecnie	,adv:pos	,	,
odchodzi	,odchodzić	,fin:sg:ter:imperf	,	,
się	,się	,qub	,	,
od	,od	,prep:gen:nwok	,	,
celowego	,celowy	,adj:sg:gen:n:pos	,X	,M
krzyżowania	,krzyżować	,ger:sg:gen:n:imperf:aff	,X	,M
ze	,z	,prep:gen:wok	,	,
względu	,wzgląd	,subst:sg:gen:m3	,	,
na	,na	,prep:acc	,	,
potrzebę	,potrzeba	,subst:sg:acc:f	,	,
zachowania	,zachowanie	,subst:sg:gen:n:ncol	,	,
czystych	,czysty	,adj:pl:gen:f:pos	,X	,M
linii	,linia	,subst:pl:gen:f	,X	,M
genetycznych	,genetyczny	,adj:pl:gen:f:pos	,	,
oraz	,oraz	,conj	,	,
kontrowersje	,kontrowersja	,subst:pl:nom:f	,	,
natury	,natura	,subst:sg:gen:f	,	,
etycznej	,etyczny	,adj:sg:gen:f:pos	,	,
.	,.	,interp	,	,
&,,,,
Ojcem	,ojciec	,subst:sg:inst:m1	,	,
małego	,mały	,adj:sg:gen:m2:pos	,X	,L
oryksa	,oryks	,subst:sg:gen:m2	,X	,L
jest	,być	,fin:sg:ter:imperf	,	,
dorodny	,dorodny	,adj:sg:nom:m2:pos	,X	,L
samiec	,samiec	,subst:sg:nom:m2	,X	,L
o	,o	,prep:loc	,	,
wyjątkowo	,wyjątkowo	,adv:pos	,	,
czystej	,czysty	,adj:sg:loc:f:pos	,X	,M
linii	,linia	,subst:sg:loc:f	,X	,M
genetycznej	,genetyczny	,adj:sg:loc:f:pos	,	,
",	",",	",interp	,	,
rzadko	,rzadko	,adv:pos	,	,
spotykanej	,spotykać	,ppas:sg:gen:f:imperf:aff	,	,
w	,w	,prep:loc:nwok	,	,
innych	,inny	,adj:pl:loc:m3:pos	,X	,L
ogrodach	,ogród	,subst:pl:loc:m3	,X	,L
zoologicznych	,zoologiczny	,adj:pl:loc:m3:pos	,	,
.	,.	,interp	,	,
&,,,,
Cała	,cały	,adj:sg:nom:f:pos	,X	,M
scena	,scena	,subst:sg:nom:f	,X	,M
ma	,mieć	,fin:sg:ter:imperf	,	,
ukazać	,ukazać	,inf:perf	,	,
moc	,moc	,subst:sg:acc:f	,	,
diabelskich	,diabelski	,adj:pl:gen:f:pos	,X	,M
sztuczek	,sztuczka	,subst:pl:gen:f	,X	,M
",	",",	",interp	,	,
których	,który	,adj:pl:gen:f:pos	,	,
jedynym	,jedyny	,adj:sg:inst:m1:pos	,X	,L
celem	,cel	,subst:sg:inst:m3	,X	,L
jest	,być	,fin:sg:ter:imperf	,	,
odciągnięcie	,odciągnąć	,ger:sg:nom:n:perf:aff	,	,
człowieka	,człowiek	,subst:sg:gen:m1	,	,
od	,od	,prep:gen:nwok	,	,
Boga	,bóg	,subst:sg:gen:m1	,	,
i	,i	,conj	,	,
zepchnięcie	,zepchnąć	,ger:sg:nom:n:perf:aff	,	,
go	,on	,ppron3:sg:gen:m3:ter:nakc:npraep	,	,
do	,do	,prep:gen	,	,
piekła	,piekło	,subst:sg:gen:n:ncol	,	,
.	,.	,interp	,	,
&,,,,
Jedynie	,jedynie	,qub	,	,
dziewczyna	,dziewczyna	,subst:sg:nom:f	,	,
zdawała	,zdawać	,praet:sg:f:imperf	,	,
sobie	,siebie	,siebie:dat	,	,
sprawę	,sprawa	,subst:sg:acc:f	,	,
",	",",	",interp	,	,
że	,że	,comp	,	,
to	,to	,pred	,	,
nie	,nie	,qub	,	,
zwykły	,zwykły	,adj:sg:nom:m3:pos	,X	,L
sztorm	,sztorm	,subst:sg:nom:m3	,X	,L
",	",",	",interp	,	,
ale	,ale	,conj	,	,
diabelskie	,diabelski	,adj:pl:acc:f:pos	,X	,M
sztuczki	,sztuczka	,subst:pl:acc:f	,X	,M
czarta	,czart	,subst:sg:gen:m1	,	,
wypełniającego	,wypełniać	,pact:sg:gen:n:imperf:aff	,	,
swoje	,swój	,adj:sg:acc:n:pos	,X	,L
zadanie	,zadanie	,subst:sg:acc:n:ncol	,X	,L
.	,.	,interp	,	,
&,,,,
To	,to	,comp	,	,
chyba	,chyba	,qub	,	,
jakieś	,jakiś	,adj:pl:acc:f:pos	,	,
diabelskie	,diabelski	,adj:pl:acc:f:pos	,X	,M
sztuczki	,sztuczka	,subst:pl:acc:f	,X	,M
żeby	,żeby	,comp	,	,
podpowiadać	,podpowiadać	,inf:imperf	,	,
Europie	,Europa	,subst:sg:dat:f	,	,
wprowadzenie	,wprowadzić	,ger:sg:acc:n:perf:aff	,	,
u	,u	,prep:gen	,	,
siebie	,siebie	,siebie:gen	,	,
chociaż	,chociaż	,comp	,	,
fragmentu	,fragment	,subst:sg:gen:m3	,	,
polskiego	,polski	,adj:sg:gen:m3:pos	,X	,M
burdelu	,burdel	,subst:sg:gen:m3	,X	,M
.	,.	,interp	,	,
&,,,,
Alkohol	,alkohol	,subst:sg:nom:m3	,	,
co	,co	,subst:sg:gen:n:ncol	,	,
innego	,inny	,adj:sg:gen:n:pos	,	,
",	",",	",interp	,	,
alkohol	,alkohol	,subst:sg:nom:m3	,	,
rzecz	,rzecz	,subst:sg:nom:f	,	,
ludzka	,ludzki	,adj:sg:nom:f:pos	,	,
",	",",	",interp	,	,
narkotyki	,narkotyk	,subst:pl:nom:m3	,	,
to	,to	,qub	,	,
już	,już	,qub	,	,
diabelskie	,diabelski	,adj:pl:acc:f:pos	,X	,M
sztuczki	,sztuczka	,subst:pl:acc:f	,X	,M
.	,.	,interp	,	,
&,,,,
Bodaj	,bodaj	,qub	,	,
najwyraźniej	,wyraźnie	,adv:sup	,	,
",	",",	",interp	,	,
a	,a	,conj	,	,
zarazem	,zarazem	,qub	,	,
w	,w	,prep:acc:nwok	,	,
sposób	,sposób	,subst:sg:acc:m3	,	,
dla	,dla	,prep:gen	,	,
Szymborskiej	,Szymborska	,subst:sg:gen:f	,	,
najbardziej	,bardzo	,adv:sup	,	,
charakterystyczny	,charakterystyczny	,adj:sg:nom:m3:pos	,	,
",	",",	",interp	,	,
z	,z	,prep:inst:nwok	,	,
pełnym	,pełny	,adj:sg:inst:m3:pos	,X	,M
dowcipu	,dowcip	,subst:sg:gen:m3	,X	,M
wdziękiem	,wdzięk	,subst:sg:inst:m3	,	,
stylizacji	,stylizacja	,subst:sg:gen:f	,	,
egzotycznej	,egzotyczny	,adj:sg:gen:f:pos	,	,
przedstawia	,przedstawiać	,fin:sg:ter:imperf	,	,
to	,to	,pred	,	,
Mozaika	,mozaika	,subst:sg:nom:f	,	,
bizantyjska	,bizantyjski	,adj:sg:nom:f:pos	,	,
(	,(	,interp	,	,
SP	,SP	,subst:sg:nom:f	,	,
)	,)	,interp	,	,
",	",",	",interp	,	,
gdzie	,gdzie	,adv	,	,
cesarska	,cesarski	,adj:sg:nom:f:pos	,X	,L
para	,para	,subst:sg:nom:f	,X	,L
",	",",	",interp	,	,
wyobrażona	,wyobrazić	,ppas:sg:nom:f:perf:aff	,	,
na	,na	,prep:loc	,	,
takiej	,taki	,adj:sg:loc:f:pos	,X	,L
mozaice	,mozaika	,subst:sg:loc:f	,X	,L
w	,w	,prep:loc:nwok	,	,
hieratycznych	,hieratyczny	,adj:pl:loc:n:pos	,	,
",	",",	",interp	,	,
dostojnych	,dostojny	,adj:pl:loc:n:pos	,	,
i	,i	,conj	,	,
estetycznie	,estetycznie	,adv:pos	,	,
(	,(	,interp	,	,
stylistycznie	,stylistycznie	,adv:pos	,	,
)	,)	,interp	,	,
"""	","""	",interp	,	,
doskonałych	,doskonały	,adj:pl:gen:f:pos	,	,
"""	","""	",interp	,	,
pozach	,poza	,subst:pl:loc:f	,	,
-	,-	,interp	,	,
rozpacza	,rozpaczać	,fin:sg:ter:imperf	,	,
z	,z	,prep:gen:nwok	,	,
tego	,ten	,adj:sg:gen:m3:pos	,X	,L
powodu	,powód	,subst:sg:gen:m3	,X	,L
",	",",	",interp	,	,
że	,że	,comp	,	,
narodziło	,narodzić	,praet:sg:n:perf	,	,
im	,on	,ppron3:pl:dat:m1:ter:akc:npraep	,	,
się	,się	,qub	,	,
żywe	,żywy	,adj:sg:nom:n:pos	,	,
",	",",	",interp	,	,
zwyczajne	,zwyczajny	,adj:sg:nom:n:pos	,X	,L
dziecko	,dziecko	,subst:sg:nom:n:col	,X	,L
",	",",	",interp	,	,
wyglądające	,wyglądać	,pact:pl:nom:f:imperf:aff	,	,
jak	,jak	,adv:pos	,	,
każdy	,każdy	,adj:sg:nom:m2:pos	,X	,L
noworodek	,noworodek	,subst:sg:nom:m2	,X	,L
;	,;	,interp	,	,
i	,i	,conj	,	,
ze	,z	,prep:inst:wok	,	,
zgrozą	,zgroza	,subst:sg:inst:f	,	,
dopatruje	,dopatrywać	,fin:sg:ter:imperf	,	,
się	,się	,qub	,	,
w	,w	,prep:loc:nwok	,	,
tym	,to	,subst:sg:loc:n:ncol	,	,
jakiejś	,jakiś	,adj:sg:gen:f:pos	,	,
diabelskiej	,diabelski	,adj:sg:gen:f:pos	,X	,M
sztuczki	,sztuczka	,subst:sg:gen:f	,X	,M
;	,;	,interp	,	,
diabelskiej	,diabelski	,adj:sg:gen:f:pos	,	,
bo	,bo	,comp	,	,
mącącej	,mącić	,pact:sg:gen:f:imperf:aff	,	,
stylistyczny	,stylistyczny	,adj:sg:acc:m3:pos	,X	,L
ład	,ład	,subst:sg:acc:m3	,X	,L
i	,i	,conj	,	,
wprowadzającej	,wprowadzać	,pact:sg:gen:f:imperf:aff	,	,
"""	","""	",interp	,	,
ludzki	,ludzki	,adj:sg:acc:m3:pos	,	,
"""	","""	",interp	,	,
chaos	,chaos	,subst:sg:acc:m3	,	,
w	,w	,prep:acc:nwok	,	,
estetyczny	,estetyczny	,adj:sg:acc:m3:pos	,X	,M
porządek	,porządek	,subst:sg:acc:m3	,X	,M
ich	,on	,ppron3:pl:gen:m1:ter:akc:npraep	,	,
świata	,świat	,subst:sg:gen:m3	,	,
.	,.	,interp	,	,
&,,,,
Bode	,Bode	,ign	,	,
Miller	,Miller	,subst:sg:nom:m1	,	,
wygrał	,wygrać	,praet:sg:m1:perf	,	,
w	,w	,prep:acc:nwok	,	,
sobotę	,sobota	,subst:sg:acc:f	,	,
najdłuższy	,długi	,adj:sg:nom:m1:sup	,	,
(	,(	,interp	,	,
4445	,4445	,dig	,	,
m	,metr	,brev:npun	,	,
)	,)	,interp	,	,
",	",",	",interp	,	,
najszybszy	,szybki	,adj:sg:acc:m3:sup	,	,
(	,(	,interp	,	,
chwilami	,chwila	,subst:pl:inst:f	,	,
pędzi	,pędzić	,fin:sg:ter:imperf	,	,
się	,się	,qub	,	,
tutaj	,tutaj	,adv	,	,
150	,150	,dig	,	,
km	,kilometr	,brev:npun	,	,
/	,/	,interp	,	,
h	,godzina	,brev:npun	,	,
)	,)	,interp	,	,
",	",",	",interp	,	,
najbardziej	,bardzo	,adv:sup	,	,
ekstremalny	,ekstremalny	,adj:sg:nom:m3:pos	,	,
(	,(	,interp	,	,
wąskie	,wąski	,adj:pl:nom:m3:pos	,	,
",	",",	",interp	,	,
strome	,stromy	,adj:pl:nom:m3:pos	,X	,L
odcinki	,odcinek	,subst:pl:nom:m3	,X	,L
nad	,nad	,prep:inst:nwok	,	,
przepaścią	,przepaść	,subst:sg:inst:f	,	,
)	,)	,interp	,	,
i	,i	,conj	,	,
wyczerpujący	,wyczerpywać	,pact:sg:nom:m3:imperf:aff	,	,
(	,(	,interp	,	,
"2,5	","2,5	",dig	,	,
minuty	,minuta	,subst:sg:gen:f	,	,
w	,w	,prep:loc:nwok	,	,
przysiadzie	,przysiad	,subst:sg:loc:m3	,	,
)	,)	,interp	,	,
bieg	,bieg	,subst:sg:nom:m3	,	,
zjazdowy	,zjazdowy	,adj:sg:nom:m3:pos	,	,
w	,w	,prep:loc:nwok	,	,
alpejskim	,alpejski	,adj:sg:loc:m3:pos	,X	,L
Pucharze	,puchar	,subst:sg:loc:m3	,X	,L
Świata	,Świat	,subst:sg:gen:m1	,	,
.	,.	,interp	,	,
„	,„	,interp	,	,
Lauberhorn	,Lauberhorn	,ign	,	,
”	,”	,interp	,	,
w	,w	,prep:loc:nwok	,	,
szwajcarskim	,szwajcarski	,adj:sg:loc:m3:pos	,	,
Wengen	,Wengen	,ign	,	,
to	,to	,pred	,	,
trasa	,trasa	,subst:sg:nom:f	,	,
z	,z	,prep:gen:nwok	,	,
piekła	,piekło	,subst:sg:gen:n:ncol	,	,
rodem	,ród	,subst:sg:inst:m3	,	,
",	",",	",interp	,	,
ale	,ale	,conj	,	,
szalony	,szalony	,adj:sg:nom:m1:pos	,X	,L
Amerykanin	,Amerykanin	,subst:sg:nom:m1	,X	,L
pokazał	,pokazać	,praet:sg:m1:perf	,	,
",	",",	",interp	,	,
że	,że	,comp	,	,
jego	,on	,ppron3:sg:gen:m1:ter:akc:npraep	,	,
też	,też	,qub	,	,
stać	,stać	,inf:imperf	,	,
na	,na	,prep:acc	,	,
diabelskie	,diabelski	,adj:pl:acc:f:pos	,X	,M
sztuczki	,sztuczka	,subst:pl:acc:f	,X	,M
.	,.	,interp	,	,
&,,,,
By	,by	,comp	,	,
podtrzymać	,podtrzymać	,inf:perf	,	,
wigor	,wigor	,subst:sg:acc:m3	,	,
młodości	,młodość	,subst:sg:gen:f	,	,
od	,od	,prep:gen:nwok	,	,
zarania	,zaranie	,subst:sg:gen:n:ncol	,	,
dziejów	,dzieje	,subst:pl:gen:n:pt	,	,
używano	,używać	,imps:imperf	,	,
diabelskich	,diabelski	,adj:pl:gen:f:pos	,X	,M
sztuczek	,sztuczka	,subst:pl:gen:f	,X	,M
i	,i	,conj	,	,
eliksirów	,eliksir	,subst:pl:gen:m3	,	,
oraz	,oraz	,conj	,	,
wydano	,wydać	,imps:perf	,	,
ogromne	,ogromny	,adj:pl:acc:m3:pos	,X	,L
środki	,środek	,subst:pl:acc:m3	,X	,L
finansowe	,finansowy	,adj:pl:acc:m3:pos	,	,
.	,.	,interp	,	,
&,,,,
Dla	,dla	,prep:gen	,	,
niektórych	,niektóry	,adj:pl:gen:m1:pos	,,
zejście	,zejść	,ger:sg:nom:n:perf:aff	,,
będzie	,być	,bedzie:sg:ter:imperf	,	,
karkołomne	,karkołomny	,adj:sg:nom:n:pos	,	,
i	,i	,conj	,	,
być	,być	,inf:imperf	,	,
może	,móc	,fin:sg:ter:imperf	,	,
nie	,nie	,qub	,	,
obejdzie	,obejść	,fin:sg:ter:perf	,	,
się	,się	,qub	,	,
bez	,bez	,prep:gen:nwok	,	,
diabelskich	,diabelski	,adj:pl:gen:f:pos	,X	,M
sztuczek	,sztuczka	,subst:pl:gen:f	,X	,M
.	,.	,interp	,	,
&,,,,
Jak	,jak	,adv:pos	,	,
serce	,serce	,subst:sg:nom:n:ncol	,	,
małego	,mały	,adj:sg:gen:m1:pos	,	,
Kaya	,Kaya	,ign	,	,
z	,z	,prep:gen:nwok	,	,
baśni	,baśń	,subst:sg:gen:f	,	,
Andersena	,Andersen	,subst:sg:gen:m1	,	,
",	",",	",interp	,	,
diabelską	,diabelski	,adj:sg:inst:f:pos	,X	,M
sztuczką	,sztuczka	,subst:sg:inst:f	,X	,M
zmienione	,zmienić	,ppas:sg:nom:n:perf:aff	,	,
w	,w	,prep:acc:nwok	,	,
sopel	,sopel	,subst:sg:acc:m3	,	,
lodu	,lód	,subst:sg:gen:m3	,	,
.	,.	,interp	,	,
.	,.	,interp	,	,
.	,.	,interp	,	,
&,,,,
Należy	,należeć	,fin:sg:ter:imperf	,	,
zawsze	,zawsze	,adv	,	,
szukać	,szukać	,inf:imperf	,	,
Prawdy	,prawda	,subst:sg:gen:f	,	,
i	,i	,qub	,	,
nie	,nie	,qub	,	,
dać	,dać	,inf:perf	,	,
się	,się	,qub	,	,
omamić	,omamić	,inf:perf	,	,
diabelskimi	,diabelski	,adj:pl:inst:f:pos	,X	,M
sztuczkami	,sztuczka	,subst:pl:inst:f	,X	,M
i	,i	,conj	,	,
wszechobecnymi	,wszechobecny	,adj:pl:inst:f:pos	,X	,M
półprawdami	,półprawda	,subst:pl:inst:f	,X	,M
.	,.	,interp	,	,
&,,,,
Legenda	,legenda	,subst:sg:nom:f	,	,
z	,z	,prep:inst:nwok	,	,
gołym	,goły	,adj:sg:inst:m3:pos	,X	,L
tyłkiem	,tyłek	,subst:sg:inst:m3	,X	,L
",	",",	",interp	,	,
wziąwszy	,wziąć	,pant:perf	,	,
pod	,pod	,prep:acc:nwok	,	,
uwagę	,uwaga	,subst:sg:acc:f	,	,
ułańską	,ułański	,adj:sg:acc:f:pos	,X	,M
fantazję	,fantazja	,subst:sg:acc:f	,X	,M
",	",",	",interp	,	,
rzeczywiście	,rzeczywiście	,adv:pos	,	,
powinna	,powinien	,winien:sg:f:imperf	,	,
być	,być	,inf:imperf	,	,
słynna	,słynny	,adj:sg:nom:f:pos	,	,
",	",",	",interp	,	,
ale	,ale	,conj	,	,
w	,w	,prep:loc:nwok	,	,
internetowych	,internetowy	,adj:pl:loc:n:pos	,X	,M
źródłach	,źródło	,subst:pl:loc:n:ncol	,X	,M
o	,o	,prep:loc	,	,
niej	,on	,ppron3:sg:loc:f:ter:akc:praep	,	,
cicho	,cicho	,adv:pos	,	,
.	,.	,interp	,	,
&,,,,
Pozostała	,pozostać	,praet:sg:f:perf	,	,
po	,po	,prep:loc	,	,
nim	,on	,ppron3:sg:loc:m1:ter:akc:praep	,	,
pamięć	,pamięć	,subst:sg:nom:f	,	,
o	,o	,prep:loc	,	,
bohaterskich	,bohaterski	,adj:pl:loc:n:pos	,	,
i	,i	,conj	,	,
pełnych	,pełny	,adj:pl:loc:n:pos	,	,
ułańskich	,ułański	,adj:pl:loc:f:pos	,X	,M
fantazji	,fantazja	,subst:sg:loc:f	,X	,M
walkach	,walka	,subst:pl:loc:f	,	,
o	,o	,prep:acc	,	,
niepodległość	,niepodległość	,subst:sg:acc:f	,	,
w	,w	,prep:loc:nwok	,	,
latach	,rok	,subst:pl:loc:m3	,	,
1914	,1914	,dig	,	,
-	,-	,interp	,	,
1920	,1920	,dig	,	,
",	",",	",interp	,	,
sława	,sława	,subst:sg:nom:f	,	,
twórcy	,twórca	,subst:sg:gen:m1	,	,
odrodzonej	,odrodzić	,ppas:sg:gen:f:perf:aff	,X	,M
kawalerii	,kawaleria	,subst:sg:gen:f	,X	,M
i	,i	,conj	,	,
urosła	,urość	,praet:sg:f:perf	,	,
